GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-cirius-retail-schedule-management,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.schedule_management,ScheduleManagementResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-schedule-management,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.schedule_management,ScheduleManagementItem,123,0,0,0,1,0,1,0,1,0
kaiheisen-integration-cirius-retail-schedule-management,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.schedule_management,ScheduleManagementCiriusAdapter,3,141,0,0,2,11,1,7,1,7
