GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-isrrkr,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.isrrkr,IsrrkrId,45,46,5,5,12,12,12,3,7,3
kaiheisen-dataaccess-jpa-ciriusdb-cirius-isrrkr,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.isrrkr,IsrrkrDataAccessImpl,33,429,3,11,7,91,4,24,1,20
