GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-jusyom,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.jusyom,JusyomDataAccessImpl,0,71,0,0,0,15,0,3,0,3
kaiheisen-dataaccess-jpa-ciriusdb-cirius-jusyom,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.jusyom,JusyomId,88,3,10,0,22,1,14,1,9,1
