GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-sqshyjs,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.sqshyjs,SqshyjsDataAccessImpl,0,537,0,0,0,99,0,23,0,23
kaiheisen-dataaccess-jpa-ciriusdb-cirius-sqshyjs,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.sqshyjs,SqshyjsId,33,37,4,4,9,10,9,3,5,3
