GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-ksefl,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.ksefl,KseflDataAccessImpl,11,804,0,6,2,176,1,22,1,19
kaiheisen-dataaccess-jpa-ciriusdb-cirius-ksefl,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.ksefl,KseflId,68,65,6,8,18,15,17,4,11,3
