GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtOpeningCancelImpl,8,623,5,33,1,143,5,31,0,17
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtOpeningCancelImpl.PreviousContext,0,9,0,0,0,1,0,1,0,1
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtOpeningCancelImpl.CollaborationDecision,0,9,0,0,0,1,0,1,0,1
