GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,InMemoryOptimisticUpdateSupport,61,109,15,13,16,29,15,4,2,3
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,PreparedTargetColumnUpdate,0,46,0,0,0,8,0,4,0,4
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,ReflectiveInMemoryRowMapper,378,0,56,0,74,0,33,0,5,0
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,InMemoryInsertSupport,0,40,0,0,0,11,0,2,0,2
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,InMemoryOptimisticDeleteSupport,81,102,10,12,13,26,16,5,6,4
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,InMemoryTargetColumnUpdateSupport,0,89,0,4,0,24,0,5,0,3
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,AutoNeutralValueResolver,153,0,26,0,34,0,17,0,4,0
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,NeutralValueResolver,0,48,0,4,0,11,0,4,0,2
kaiheisen-dataaccess-inmemory-core,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.core,ReflectiveInMemoryRowMapper.ColumnMapping,9,0,0,0,1,0,1,0,1,0
