GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-tskgmst,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.tskgmst,TskgmstDataAccessImpl.R003Parameters,0,9,0,0,0,1,0,1,0,1
kaiheisen-dataaccess-jpa-ciriusdb-cirius-tskgmst,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.tskgmst,TskgmstDataAccessImpl,4,808,2,6,2,157,2,31,0,29
kaiheisen-dataaccess-jpa-ciriusdb-cirius-tskgmst,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.tskgmst,TskgmstId,45,46,5,5,12,11,12,3,7,3
