GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-cirius-retail-sc-heisenkannrenji-idoujouhou-touroku,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail_sc.heisenkannrenji_idoujouhou_touroku,HeisenkannrenjiIdoujouhou,0,93,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-sc-heisenkannrenji-idoujouhou-touroku,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail_sc.heisenkannrenji_idoujouhou_touroku,HeisenkannrenjiIdoujouhouTourokuCiriusAdapter,81,10,7,1,11,4,9,2,5,2
kaiheisen-integration-cirius-retail-sc-heisenkannrenji-idoujouhou-touroku,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail_sc.heisenkannrenji_idoujouhou_touroku,HeisenkannrenjiIdoujouhouTourokuRequest,0,6,0,0,0,1,0,1,0,1
