GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-sv-impl-opening-contractcustomerregistrationupdatetgretailatopening,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,ContractCustomerRegistrationUpdateTgRetailAtOpeningImpl,15,1259,5,25,3,325,6,32,1,22
kaiheisen-sv-impl-opening-contractcustomerregistrationupdatetgretailatopening,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,ContractCustomerRegistrationUpdateTgRetailAtOpeningImpl.InternalValues,0,241,0,0,0,3,0,3,0,3
kaiheisen-sv-impl-opening-contractcustomerregistrationupdatetgretailatopening,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,ContractCustomerRegistrationUpdateTgRetailAtOpeningImpl.BuildingValues,0,37,0,2,0,8,0,3,0,2
kaiheisen-sv-impl-opening-contractcustomerregistrationupdatetgretailatopening,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,ContractCustomerRegistrationUpdateTgRetailAtOpeningImpl.AddressValues,0,24,0,0,0,1,0,1,0,1
