GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-cirius-retail-billing,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.billing,BillingDebtItem,0,6,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-billing,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.billing,BillingItem,0,18,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-billing,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.billing,BillingResponse,0,6,0,0,0,1,0,1,0,1
kaiheisen-integration-cirius-retail-billing,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.billing,BillingCiriusAdapter,3,57,0,0,2,5,1,3,1,3
kaiheisen-integration-cirius-retail-billing,jp.co.tokyo_gas.kaiheisen.libs.common.integration.cirius.retail.billing,BillingBreakdownDebtItem,0,6,0,0,0,1,0,1,0,1
