GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-jpa-ciriusdb-cirius-gmtsetd,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.gmtsetd,GmtsetdId,67,3,8,0,16,1,11,1,7,1
kaiheisen-dataaccess-jpa-ciriusdb-cirius-gmtsetd,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.gmtsetd,GmtsetdDataAccessImpl,99,953,2,2,21,191,6,29,4,29
kaiheisen-dataaccess-jpa-ciriusdb-cirius-gmtsetd,jp.co.tokyo_gas.kaiheisen.libs.da.jpa.ciriusdb.cirius.gmtsetd,GmtsetdDataAccessImpl.R006Parameters,0,9,0,0,0,1,0,1,0,1
