GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-sv-api-opening-openingreportinfoedit,jp.co.tokyo_gas.kaiheisen.libs.sv.api.opening.model,KiycstKktInf,0,74,0,0,0,3,0,2,0,2
kaiheisen-sv-api-opening-openingreportinfoedit,jp.co.tokyo_gas.kaiheisen.libs.sv.api.opening.model,MtgInf,14,0,0,0,3,0,2,0,2,0
kaiheisen-sv-api-opening-openingreportinfoedit,jp.co.tokyo_gas.kaiheisen.libs.sv.api.opening,OpeningReportInfoEditOutput,81,0,0,0,1,0,1,0,1,0
