GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-ma-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.ma.core,MaRestClientSupport,0,10,0,0,0,2,0,1,0,1
kaiheisen-integration-ma-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.ma.core,AbstractMaAdapter,58,0,0,0,16,0,6,0,6,0
kaiheisen-integration-ma-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.ma.core,RestClientInvoker.Mapping,0,9,0,0,0,1,0,1,0,1
kaiheisen-integration-ma-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.ma.core,RestClientInvoker,39,282,8,28,8,59,8,21,0,11
