GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-integration-livalit-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.livalit.core,LivalitApiException,6,26,0,0,2,6,2,2,2,2
kaiheisen-integration-livalit-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.livalit.core,LivalitRestClientSupport,6,4,0,0,1,1,0,1,0,1
kaiheisen-integration-livalit-core,jp.co.tokyo_gas.kaiheisen.libs.common.integration.livalit.core,AbstractLivalitAdapter,27,0,0,0,10,0,4,0,4,0
