GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-sv-impl-register-customerservicehistoryapiintegration,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.register,CustomerServiceHistoryApiIntegrationRequest.CallParameters,0,96,0,0,0,1,0,1,0,1
kaiheisen-sv-impl-register-customerservicehistoryapiintegration,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.register,CustomerServiceHistoryApiIntegrationRequest,0,6,0,0,0,1,0,1,0,1
kaiheisen-sv-impl-register-customerservicehistoryapiintegration,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.register,CustomerServiceHistoryApiIntegrationImpl,4,300,2,10,2,75,2,14,0,10
