GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-dataaccess-inmemory-ciriusdb-ncis-kenssie,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.ciriusdb.ncis.kenssie,KenssieDataAccessImpl.InternalRow,0,75,0,0,0,11,0,1,0,1
kaiheisen-dataaccess-inmemory-ciriusdb-ncis-kenssie,jp.co.tokyo_gas.kaiheisen.libs.da.inmemory.ciriusdb.ncis.kenssie,KenssieDataAccessImpl,8,177,0,10,2,40,1,17,1,12
