GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatcontractopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtContractOpeningCancelImpl,17,586,8,34,2,131,8,35,0,22
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatcontractopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtContractOpeningCancelImpl.InternalState,0,15,0,0,0,6,0,1,0,1
kaiheisen-sv-impl-opening-billingcollectionplatformintegrationatcontractopeningcancel,jp.co.tokyo_gas.kaiheisen.libs.sv.impl.opening,BillingCollectionPlatformIntegrationAtContractOpeningCancelImpl.RequestState,0,12,0,0,0,1,0,1,0,1
